20170821150448,0
20170821150735,1
20170821151000,0
20170823133620,0
20170823134312,0
20170823142112,0
20170823142226,0
20170823142259,0
20170823142301,0
20170823142305,0
20170823142315,1
20170823142620,0
20170823142623,0
20170823155236,0
20170823155400,1
20170824091857,1
20170824092239,0
20170824092250,0
20170824145138,0
20170824152018,0
20170824152754,0
20170824153028,1
20170824153215,0
20170824170418,0
20170824170605,1
20170824170615,0
20170824170640,0
20170824170659,1
